"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_cfgvehicles_ammobox_new_45acprip0","Boxed .45 ACP RIP Rounds","Boxed .45 ACP RIP Rounds","Boxed .45 ACP RIP Rounds","Boxed .45 ACP RIP Rounds","Коробка патронов .45 ACP RIP","Boxed .45 ACP RIP Rounds","Boxed .45 ACP RIP Rounds","Boxed .45 ACP RIP Rounds","Boxed .45 ACP RIP Rounds","Boxed .45 ACP RIP Rounds","Boxed .45 ACP RIP Rounds","Boxed .45 ACP RIP Rounds","Boxed .45 ACP RIP Rounds","Boxed .45 ACP RIP Rounds",
"str_cfgvehicles_ammobox_new_45acprip1","A box of .45 ACP RIP Rounds.","A box of .45 ACP RIP Rounds.","A box of .45 ACP RIP Rounds.","A box of .45 ACP RIP Rounds.","Патроны .45 ACP RIP в коробке.","A box of .45 ACP RIP Rounds.","A box of .45 ACP RIP Rounds.","A box of .45 ACP RIP Rounds.","A box of .45 ACP RIP Rounds.","A box of .45 ACP RIP Rounds.","A box of .45 ACP RIP Rounds.","A box of .45 ACP RIP Rounds.","A box of .45 ACP RIP Rounds.","A box of .45 ACP RIP Rounds.",
"str_cfgvehicles_ammobox_new_45acpimbalanced0","Boxed .45 ACP Imbalanced Rounds","Boxed .45 ACP Imbalanced Rounds","Boxed .45 ACP Imbalanced Rounds","Boxed .45 ACP Imbalanced Rounds","Коробка патронов .45 ACP Imbalanced","Boxed .45 ACP Imbalanced Rounds","Boxed .45 ACP Imbalanced Rounds","Boxed .45 ACP Imbalanced Rounds","Boxed .45 ACP Imbalanced Rounds","Boxed .45 ACP Imbalanced Rounds","Boxed .45 ACP Imbalanced Rounds","Boxed .45 ACP Imbalanced Rounds","Boxed .45 ACP Imbalanced Rounds","Boxed .45 ACP Imbalanced Rounds",
"str_cfgvehicles_ammobox_new_45acpimbalanced1","A box of .45 ACP Imbalanced Rounds.","A box of .45 ACP Imbalanced Rounds.","A box of .45 ACP Imbalanced Rounds.","A box of .45 ACP Imbalanced Rounds.","Патроны .45 ACP Imbalanced в коробке.","A box of .45 ACP Imbalanced Rounds.","A box of .45 ACP Imbalanced Rounds.","A box of .45 ACP Imbalanced Rounds.","A box of .45 ACP Imbalanced Rounds.","A box of .45 ACP Imbalanced Rounds.","A box of .45 ACP Imbalanced Rounds.","A box of .45 ACP Imbalanced Rounds.","A box of .45 ACP Imbalanced Rounds.","A box of .45 ACP Imbalanced Rounds.",
"str_cfgvehicles_ammobox_new_545x397h390","Boxed 5.45x39mm 7N39 'Needle' Rounds","Boxed 5.45x39mm 7N39 'Needle' Rounds","Boxed 5.45x39mm 7N39 'Needle' Rounds","Boxed 5.45x39mm 7N39 'Needle' Rounds","Коробка патронов 5,45x39 мм 7Н39 "Игольник"","Boxed 5.45x39mm 7N39 'Needle' Rounds","Boxed 5.45x39mm 7N39 'Needle' Rounds","Boxed 5.45x39mm 7N39 'Needle' Rounds","Boxed 5.45x39mm 7N39 'Needle' Rounds","Boxed 5.45x39mm 7N39 'Needle' Rounds","Boxed 5.45x39mm 7N39 'Needle' Rounds","Boxed 5.45x39mm 7N39 'Needle' Rounds","Boxed 5.45x39mm 7N39 'Needle' Rounds","Boxed 5.45x39mm 7N39 'Needle' Rounds",
"str_cfgvehicles_ammobox_new_545x397h391","A box of 5.45x39mm 7N39 'Needle' Rounds.","A box of 5.45x39mm 7N39 'Needle' Rounds.","A box of 5.45x39mm 7N39 'Needle' Rounds.","A box of 5.45x39mm 7N39 'Needle' Rounds.","Патроны 5,45x39 мм 7Н39 "Игольник" в коробке.","A box of 5.45x39mm 7N39 'Needle' Rounds.","A box of 5.45x39mm 7N39 'Needle' Rounds.","A box of 5.45x39mm 7N39 'Needle' Rounds.","A box of 5.45x39mm 7N39 'Needle' Rounds.","A box of 5.45x39mm 7N39 'Needle' Rounds.","A box of 5.45x39mm 7N39 'Needle' Rounds.","A box of 5.45x39mm 7N39 'Needle' Rounds.","A box of 5.45x39mm 7N39 'Needle' Rounds.","A box of 5.45x39mm 7N39 'Needle' Rounds.",
"str_cfgvehicles_ammobox_new_545x39fmj0","Boxed 5.45x39mm FMJ Rounds","Boxed 5.45x39mm FMJ Rounds","Boxed 5.45x39mm FMJ Rounds","Boxed 5.45x39mm FMJ Rounds","Коробка патронов 5,45x39 мм FMJ","Boxed 5.45x39mm FMJ Rounds","Boxed 5.45x39mm FMJ Rounds","Boxed 5.45x39mm FMJ Rounds","Boxed 5.45x39mm FMJ Rounds","Boxed 5.45x39mm FMJ Rounds","Boxed 5.45x39mm FMJ Rounds","Boxed 5.45x39mm FMJ Rounds","Boxed 5.45x39mm FMJ Rounds","Boxed 5.45x39mm FMJ Rounds",
"str_cfgvehicles_ammobox_new_545x39fmj1","A box of 5.45x39mm FMJ Rounds.","A box of 5.45x39mm FMJ Rounds.","A box of 5.45x39mm FMJ Rounds.","A box of 5.45x39mm FMJ Rounds.","Патроны 5,45x39 мм FMJ в коробке.","A box of 5.45x39mm FMJ Rounds.","A box of 5.45x39mm FMJ Rounds.","A box of 5.45x39mm FMJ Rounds.","A box of 5.45x39mm FMJ Rounds.","A box of 5.45x39mm FMJ Rounds.","A box of 5.45x39mm FMJ Rounds.","A box of 5.45x39mm FMJ Rounds.","A box of 5.45x39mm FMJ Rounds.","A box of 5.45x39mm FMJ Rounds.",
"str_cfgvehicles_ammobox_new_545x39hp0","Boxed 5.45x39mm HP Rounds","Boxed 5.45x39mm HP Rounds","Boxed 5.45x39mm HP Rounds","Boxed 5.45x39mm HP Rounds","Коробка патронов 5,45x39 мм HP","Boxed 5.45x39mm HP Rounds","Boxed 5.45x39mm HP Rounds","Boxed 5.45x39mm HP Rounds","Boxed 5.45x39mm HP Rounds","Boxed 5.45x39mm HP Rounds","Boxed 5.45x39mm HP Rounds","Boxed 5.45x39mm HP Rounds","Boxed 5.45x39mm HP Rounds","Boxed 5.45x39mm HP Rounds",
"str_cfgvehicles_ammobox_new_545x39hp1","A box of 5.45x39mm HP Rounds.","A box of 5.45x39mm HP Rounds.","A box of 5.45x39mm HP Rounds.","A box of 5.45x39mm HP Rounds.","Патроны 5,45x39 мм HP в коробке.","A box of 5.45x39mm HP Rounds.","A box of 5.45x39mm HP Rounds.","A box of 5.45x39mm HP Rounds.","A box of 5.45x39mm HP Rounds.","A box of 5.45x39mm HP Rounds.","A box of 5.45x39mm HP Rounds.","A box of 5.45x39mm HP Rounds.","A box of 5.45x39mm HP Rounds.","A box of 5.45x39mm HP Rounds.",
"str_cfgvehicles_ammobox_new_545x39sp0","Boxed 5.45x39mm SP Rounds","Boxed 5.45x39mm SP Rounds","Boxed 5.45x39mm SP Rounds","Boxed 5.45x39mm SP Rounds","Коробка патронов 5,45x39 мм SP","Boxed 5.45x39mm SP Rounds","Boxed 5.45x39mm SP Rounds","Boxed 5.45x39mm SP Rounds","Boxed 5.45x39mm SP Rounds","Boxed 5.45x39mm SP Rounds","Boxed 5.45x39mm SP Rounds","Boxed 5.45x39mm SP Rounds","Boxed 5.45x39mm SP Rounds","Boxed 5.45x39mm SP Rounds",
"str_cfgvehicles_ammobox_new_545x39sp1","A box of 5.45x39mm SP Rounds.","A box of 5.45x39mm SP Rounds.","A box of 5.45x39mm SP Rounds.","A box of 5.45x39mm SP Rounds.","Патроны 5,45x39 мм SP в коробке.","A box of 5.45x39mm SP Rounds.","A box of 5.45x39mm SP Rounds.","A box of 5.45x39mm SP Rounds.","A box of 5.45x39mm SP Rounds.","A box of 5.45x39mm SP Rounds.","A box of 5.45x39mm SP Rounds.","A box of 5.45x39mm SP Rounds.","A box of 5.45x39mm SP Rounds.","A box of 5.45x39mm SP Rounds.",
"str_cfgvehicles_ammobox_new_545x39bp0","Boxed 5.45x39mm BP Rounds","Boxed 5.45x39mm BP Rounds","Boxed 5.45x39mm BP Rounds","Boxed 5.45x39mm BP Rounds","Коробка патронов 5,45x39 мм БП","Boxed 5.45x39mm BP Rounds","Boxed 5.45x39mm BP Rounds","Boxed 5.45x39mm BP Rounds","Boxed 5.45x39mm BP Rounds","Boxed 5.45x39mm BP Rounds","Boxed 5.45x39mm BP Rounds","Boxed 5.45x39mm BP Rounds","Boxed 5.45x39mm BP Rounds","Boxed 5.45x39mm BP Rounds",
"str_cfgvehicles_ammobox_new_545x39bp1","A box of 5.45x39mm BP Rounds.","A box of 5.45x39mm BP Rounds.","A box of 5.45x39mm BP Rounds.","A box of 5.45x39mm BP Rounds.","Патроны 5,45x39 мм БП в коробке.","A box of 5.45x39mm BP Rounds.","A box of 5.45x39mm BP Rounds.","A box of 5.45x39mm BP Rounds.","A box of 5.45x39mm BP Rounds.","A box of 5.45x39mm BP Rounds.","A box of 5.45x39mm BP Rounds.","A box of 5.45x39mm BP Rounds.","A box of 5.45x39mm BP Rounds.","A box of 5.45x39mm BP Rounds.",
"str_cfgvehicles_ammobox_new_545x39bs0","Boxed 5.45x39mm BS Rounds","Boxed 5.45x39mm BS Rounds","Boxed 5.45x39mm BS Rounds","Boxed 5.45x39mm BS Rounds","Коробка патронов 5,45x39 мм БС","Boxed 5.45x39mm BS Rounds","Boxed 5.45x39mm BS Rounds","Boxed 5.45x39mm BS Rounds","Boxed 5.45x39mm BS Rounds","Boxed 5.45x39mm BS Rounds","Boxed 5.45x39mm BS Rounds","Boxed 5.45x39mm BS Rounds","Boxed 5.45x39mm BS Rounds","Boxed 5.45x39mm BS Rounds",
"str_cfgvehicles_ammobox_new_545x39bs1","A box of 5.45x39mm BS Rounds.","A box of 5.45x39mm BS Rounds.","A box of 5.45x39mm BS Rounds.","A box of 5.45x39mm BS Rounds.","Патроны 5,45x39 мм БС в коробке.","A box of 5.45x39mm BS Rounds.","A box of 5.45x39mm BS Rounds.","A box of 5.45x39mm BS Rounds.","A box of 5.45x39mm BS Rounds.","A box of 5.45x39mm BS Rounds.","A box of 5.45x39mm BS Rounds.","A box of 5.45x39mm BS Rounds.","A box of 5.45x39mm BS Rounds.","A box of 5.45x39mm BS Rounds.",
"str_cfgvehicles_ammobox_new_545x39bt0","Boxed 5.45x39mm BT Rounds","Boxed 5.45x39mm BT Rounds","Boxed 5.45x39mm BT Rounds","Boxed 5.45x39mm BT Rounds","Коробка патронов 5,45x39 мм БТ","Boxed 5.45x39mm BT Rounds","Boxed 5.45x39mm BT Rounds","Boxed 5.45x39mm BT Rounds","Boxed 5.45x39mm BT Rounds","Boxed 5.45x39mm BT Rounds","Boxed 5.45x39mm BT Rounds","Boxed 5.45x39mm BT Rounds","Boxed 5.45x39mm BT Rounds","Boxed 5.45x39mm BT Rounds",
"str_cfgvehicles_ammobox_new_545x39bt1","A box of 5.45x39mm BT Rounds.","A box of 5.45x39mm BT Rounds.","A box of 5.45x39mm BT Rounds.","A box of 5.45x39mm BT Rounds.","Патроны 5,45x39 мм БТ в коробке.","A box of 5.45x39mm BT Rounds.","A box of 5.45x39mm BT Rounds.","A box of 5.45x39mm BT Rounds.","A box of 5.45x39mm BT Rounds.","A box of 5.45x39mm BT Rounds.","A box of 5.45x39mm BT Rounds.","A box of 5.45x39mm BT Rounds.","A box of 5.45x39mm BT Rounds.","A box of 5.45x39mm BT Rounds.",
"str_cfgvehicles_ammobox_new_545x39pp0","Boxed 5.45x39mm PP Rounds","Boxed 5.45x39mm PP Rounds","Boxed 5.45x39mm PP Rounds","Boxed 5.45x39mm PP Rounds","Коробка патронов 5,45x39 мм ПП","Boxed 5.45x39mm PP Rounds","Boxed 5.45x39mm PP Rounds","Boxed 5.45x39mm PP Rounds","Boxed 5.45x39mm PP Rounds","Boxed 5.45x39mm PP Rounds","Boxed 5.45x39mm PP Rounds","Boxed 5.45x39mm PP Rounds","Boxed 5.45x39mm PP Rounds","Boxed 5.45x39mm PP Rounds",
"str_cfgvehicles_ammobox_new_545x39pp1","A box of 5.45x39mm PP Rounds.","A box of 5.45x39mm PP Rounds.","A box of 5.45x39mm PP Rounds.","A box of 5.45x39mm PP Rounds.","Патроны 5,45x39 мм ПП в коробке.","A box of 5.45x39mm PP Rounds.","A box of 5.45x39mm PP Rounds.","A box of 5.45x39mm PP Rounds.","A box of 5.45x39mm PP Rounds.","A box of 5.45x39mm PP Rounds.","A box of 5.45x39mm PP Rounds.","A box of 5.45x39mm PP Rounds.","A box of 5.45x39mm PP Rounds.","A box of 5.45x39mm PP Rounds.",
"str_cfgvehicles_ammobox_new_545x39prs0","Boxed 5.45x39mm PRS Rounds","Boxed 5.45x39mm PRS Rounds","Boxed 5.45x39mm PRS Rounds","Boxed 5.45x39mm PRS Rounds","Коробка патронов 5,45x39 мм ПРС","Boxed 5.45x39mm PRS Rounds","Boxed 5.45x39mm PRS Rounds","Boxed 5.45x39mm PRS Rounds","Boxed 5.45x39mm PRS Rounds","Boxed 5.45x39mm PRS Rounds","Boxed 5.45x39mm PRS Rounds","Boxed 5.45x39mm PRS Rounds","Boxed 5.45x39mm PRS Rounds","Boxed 5.45x39mm PRS Rounds",
"str_cfgvehicles_ammobox_new_545x39prs1","A box of 5.45x39mm PRS Rounds.","A box of 5.45x39mm PRS Rounds.","A box of 5.45x39mm PRS Rounds.","A box of 5.45x39mm PRS Rounds.","Патроны 5,45x39 мм ПРС в коробке.","A box of 5.45x39mm PRS Rounds.","A box of 5.45x39mm PRS Rounds.","A box of 5.45x39mm PRS Rounds.","A box of 5.45x39mm PRS Rounds.","A box of 5.45x39mm PRS Rounds.","A box of 5.45x39mm PRS Rounds.","A box of 5.45x39mm PRS Rounds.","A box of 5.45x39mm PRS Rounds.","A box of 5.45x39mm PRS Rounds.",
"str_cfgvehicles_ammobox_new_545x39ps0","Boxed 5.45x39mm PS Rounds","Boxed 5.45x39mm PS Rounds","Boxed 5.45x39mm PS Rounds","Boxed 5.45x39mm PS Rounds","Коробка патронов 5,45x39 мм ПС","Boxed 5.45x39mm PS Rounds","Boxed 5.45x39mm PS Rounds","Boxed 5.45x39mm PS Rounds","Boxed 5.45x39mm PS Rounds","Boxed 5.45x39mm PS Rounds","Boxed 5.45x39mm PS Rounds","Boxed 5.45x39mm PS Rounds","Boxed 5.45x39mm PS Rounds","Boxed 5.45x39mm PS Rounds",
"str_cfgvehicles_ammobox_new_545x39ps1","A box of 5.45x39mm PS Rounds.","A box of 5.45x39mm PS Rounds.","A box of 5.45x39mm PS Rounds.","A box of 5.45x39mm PS Rounds.","Патроны 5,45x39 мм ПС в коробке.","A box of 5.45x39mm PS Rounds.","A box of 5.45x39mm PS Rounds.","A box of 5.45x39mm PS Rounds.","A box of 5.45x39mm PS Rounds.","A box of 5.45x39mm PS Rounds.","A box of 5.45x39mm PS Rounds.","A box of 5.45x39mm PS Rounds.","A box of 5.45x39mm PS Rounds.","A box of 5.45x39mm PS Rounds.",
"str_cfgvehicles_ammobox_new_545x39t0","Boxed 5.45x39mm T Rounds","Boxed 5.45x39mm T Rounds","Boxed 5.45x39mm T Rounds","Boxed 5.45x39mm T Rounds","Коробка патронов 5,45x39 мм Т","Boxed 5.45x39mm T Rounds","Boxed 5.45x39mm T Rounds","Boxed 5.45x39mm T Rounds","Boxed 5.45x39mm T Rounds","Boxed 5.45x39mm T Rounds","Boxed 5.45x39mm T Rounds","Boxed 5.45x39mm T Rounds","Boxed 5.45x39mm T Rounds","Boxed 5.45x39mm T Rounds",
"str_cfgvehicles_ammobox_new_545x39t1","A box of 5.45x39mm T Rounds.","A box of 5.45x39mm T Rounds.","A box of 5.45x39mm T Rounds.","A box of 5.45x39mm T Rounds.","Патроны 5,45x39 мм Т в коробке.","A box of 5.45x39mm T Rounds.","A box of 5.45x39mm T Rounds.","A box of 5.45x39mm T Rounds.","A box of 5.45x39mm T Rounds.","A box of 5.45x39mm T Rounds.","A box of 5.45x39mm T Rounds.","A box of 5.45x39mm T Rounds.","A box of 5.45x39mm T Rounds.","A box of 5.45x39mm T Rounds.",
"str_cfgvehicles_ammobox_new_545x39us0","Boxed 5.45x39mm US Rounds","Boxed 5.45x39mm US Rounds","Boxed 5.45x39mm US Rounds","Boxed 5.45x39mm US Rounds","Коробка патронов 5,45x39 мм УС","Boxed 5.45x39mm US Rounds","Boxed 5.45x39mm US Rounds","Boxed 5.45x39mm US Rounds","Boxed 5.45x39mm US Rounds","Boxed 5.45x39mm US Rounds","Boxed 5.45x39mm US Rounds","Boxed 5.45x39mm US Rounds","Boxed 5.45x39mm US Rounds","Boxed 5.45x39mm US Rounds",
"str_cfgvehicles_ammobox_new_545x39us1","A box of 5.45x39mm US Rounds.","A box of 5.45x39mm US Rounds.","A box of 5.45x39mm US Rounds.","A box of 5.45x39mm US Rounds.","Патроны 5,45x39 мм УС в коробке.","A box of 5.45x39mm US Rounds.","A box of 5.45x39mm US Rounds.","A box of 5.45x39mm US Rounds.","A box of 5.45x39mm US Rounds.","A box of 5.45x39mm US Rounds.","A box of 5.45x39mm US Rounds.","A box of 5.45x39mm US Rounds.","A box of 5.45x39mm US Rounds.","A box of 5.45x39mm US Rounds.",
"str_cfgvehicles_ammobox_new_545x39imbalanced0","Boxed 5.45x39mm Imbalanced Rounds","Boxed 5.45x39mm Imbalanced Rounds","Boxed 5.45x39mm Imbalanced Rounds","Boxed 5.45x39mm Imbalanced Rounds","Коробка патронов 5,45x39 мм Imbalanced","Boxed 5.45x39mm Imbalanced Rounds","Boxed 5.45x39mm Imbalanced Rounds","Boxed 5.45x39mm Imbalanced Rounds","Boxed 5.45x39mm Imbalanced Rounds","Boxed 5.45x39mm Imbalanced Rounds","Boxed 5.45x39mm Imbalanced Rounds","Boxed 5.45x39mm Imbalanced Rounds","Boxed 5.45x39mm Imbalanced Rounds","Boxed 5.45x39mm Imbalanced Rounds",
"str_cfgvehicles_ammobox_new_545x39imbalanced1","A box of 5.45x39mm Imbalanced Rounds.","A box of 5.45x39mm Imbalanced Rounds.","A box of 5.45x39mm Imbalanced Rounds.","A box of 5.45x39mm Imbalanced Rounds.","Патроны 5,45x39 мм Imbalanced в коробке.","A box of 5.45x39mm Imbalanced Rounds.","A box of 5.45x39mm Imbalanced Rounds.","A box of 5.45x39mm Imbalanced Rounds.","A box of 5.45x39mm Imbalanced Rounds.","A box of 5.45x39mm Imbalanced Rounds.","A box of 5.45x39mm Imbalanced Rounds.","A box of 5.45x39mm Imbalanced Rounds.","A box of 5.45x39mm Imbalanced Rounds.","A box of 5.45x39mm Imbalanced Rounds.",
"str_cfgvehicles_ammobox_new_556x45m8550","Boxed 5.56x45mm M855 Rounds","Boxed 5.56x45mm M855 Rounds","Boxed 5.56x45mm M855 Rounds","Boxed 5.56x45mm M855 Rounds","Коробка патронов 5,56x45 мм M855","Boxed 5.56x45mm M855 Rounds","Boxed 5.56x45mm M855 Rounds","Boxed 5.56x45mm M855 Rounds","Boxed 5.56x45mm M855 Rounds","Boxed 5.56x45mm M855 Rounds","Boxed 5.56x45mm M855 Rounds","Boxed 5.56x45mm M855 Rounds","Boxed 5.56x45mm M855 Rounds","Boxed 5.56x45mm M855 Rounds",
"str_cfgvehicles_ammobox_new_556x45m8551","A box of 5.56x45mm M855 Rounds.","A box of 5.56x45mm M855 Rounds.","A box of 5.56x45mm M855 Rounds.","A box of 5.56x45mm M855 Rounds.","Патроны 5,56x45 мм M855 в коробке.","A box of 5.56x45mm M855 Rounds.","A box of 5.56x45mm M855 Rounds.","A box of 5.56x45mm M855 Rounds.","A box of 5.56x45mm M855 Rounds.","A box of 5.56x45mm M855 Rounds.","A box of 5.56x45mm M855 Rounds.","A box of 5.56x45mm M855 Rounds.","A box of 5.56x45mm M855 Rounds.","A box of 5.56x45mm M855 Rounds.",
"str_cfgvehicles_ammobox_new_556x45m855a10","Boxed 5.56x45mm M855A1 Rounds","Boxed 5.56x45mm M855A1 Rounds","Boxed 5.56x45mm M855A1 Rounds","Boxed 5.56x45mm M855A1 Rounds","Коробка патронов 5,56x45 мм M855A1","Boxed 5.56x45mm M855A1 Rounds","Boxed 5.56x45mm M855A1 Rounds","Boxed 5.56x45mm M855A1 Rounds","Boxed 5.56x45mm M855A1 Rounds","Boxed 5.56x45mm M855A1 Rounds","Boxed 5.56x45mm M855A1 Rounds","Boxed 5.56x45mm M855A1 Rounds","Boxed 5.56x45mm M855A1 Rounds","Boxed 5.56x45mm M855A1 Rounds",
"str_cfgvehicles_ammobox_new_556x45m855a11","A box of 5.56x45mm M855A1 Rounds.","A box of 5.56x45mm M855A1 Rounds.","A box of 5.56x45mm M855A1 Rounds.","A box of 5.56x45mm M855A1 Rounds.","Патроны 5,56x45 мм M855A1 в коробке.","A box of 5.56x45mm M855A1 Rounds.","A box of 5.56x45mm M855A1 Rounds.","A box of 5.56x45mm M855A1 Rounds.","A box of 5.56x45mm M855A1 Rounds.","A box of 5.56x45mm M855A1 Rounds.","A box of 5.56x45mm M855A1 Rounds.","A box of 5.56x45mm M855A1 Rounds.","A box of 5.56x45mm M855A1 Rounds.","A box of 5.56x45mm M855A1 Rounds.",
"str_cfgvehicles_ammobox_new_556x45m8560","Boxed 5.56x45mm M856 Rounds","Boxed 5.56x45mm M856 Rounds","Boxed 5.56x45mm M856 Rounds","Boxed 5.56x45mm M856 Rounds","Коробка патронов 5,56x45 мм M856","Boxed 5.56x45mm M856 Rounds","Boxed 5.56x45mm M856 Rounds","Boxed 5.56x45mm M856 Rounds","Boxed 5.56x45mm M856 Rounds","Boxed 5.56x45mm M856 Rounds","Boxed 5.56x45mm M856 Rounds","Boxed 5.56x45mm M856 Rounds","Boxed 5.56x45mm M856 Rounds","Boxed 5.56x45mm M856 Rounds",
"str_cfgvehicles_ammobox_new_556x45m8561","A box of 5.56x45mm M856 Rounds.","A box of 5.56x45mm M856 Rounds.","A box of 5.56x45mm M856 Rounds.","A box of 5.56x45mm M856 Rounds.","Патроны 5,56x45 мм M856 в коробке.","A box of 5.56x45mm M856 Rounds.","A box of 5.56x45mm M856 Rounds.","A box of 5.56x45mm M856 Rounds.","A box of 5.56x45mm M856 Rounds.","A box of 5.56x45mm M856 Rounds.","A box of 5.56x45mm M856 Rounds.","A box of 5.56x45mm M856 Rounds.","A box of 5.56x45mm M856 Rounds.","A box of 5.56x45mm M856 Rounds.",
"str_cfgvehicles_ammobox_new_556x45m856a10","Boxed 5.56x45mm M856A1 Rounds","Boxed 5.56x45mm M856A1 Rounds","Boxed 5.56x45mm M856A1 Rounds","Boxed 5.56x45mm M856A1 Rounds","Коробка патронов 5,56x45 мм M856A1","Boxed 5.56x45mm M856A1 Rounds","Boxed 5.56x45mm M856A1 Rounds","Boxed 5.56x45mm M856A1 Rounds","Boxed 5.56x45mm M856A1 Rounds","Boxed 5.56x45mm M856A1 Rounds","Boxed 5.56x45mm M856A1 Rounds","Boxed 5.56x45mm M856A1 Rounds","Boxed 5.56x45mm M856A1 Rounds","Boxed 5.56x45mm M856A1 Rounds",
"str_cfgvehicles_ammobox_new_556x45m856a11","A box of 5.56x45mm M856A1 Rounds.","A box of 5.56x45mm M856A1 Rounds.","A box of 5.56x45mm M856A1 Rounds.","A box of 5.56x45mm M856A1 Rounds.","Патроны 5,56x45 мм M856A1 в коробке.","A box of 5.56x45mm M856A1 Rounds.","A box of 5.56x45mm M856A1 Rounds.","A box of 5.56x45mm M856A1 Rounds.","A box of 5.56x45mm M856A1 Rounds.","A box of 5.56x45mm M856A1 Rounds.","A box of 5.56x45mm M856A1 Rounds.","A box of 5.56x45mm M856A1 Rounds.","A box of 5.56x45mm M856A1 Rounds.","A box of 5.56x45mm M856A1 Rounds.",
"str_cfgvehicles_ammobox_new_556x45m9950","Boxed 5.56x45mm M995 Rounds","Boxed 5.56x45mm M995 Rounds","Boxed 5.56x45mm M995 Rounds","Boxed 5.56x45mm M995 Rounds","Коробка патронов 5,56x45 мм M995","Boxed 5.56x45mm M995 Rounds","Boxed 5.56x45mm M995 Rounds","Boxed 5.56x45mm M995 Rounds","Boxed 5.56x45mm M995 Rounds","Boxed 5.56x45mm M995 Rounds","Boxed 5.56x45mm M995 Rounds","Boxed 5.56x45mm M995 Rounds","Boxed 5.56x45mm M995 Rounds","Boxed 5.56x45mm M995 Rounds",
"str_cfgvehicles_ammobox_new_556x45m9951","A box of 5.56x45mm M995 Rounds.","A box of 5.56x45mm M995 Rounds.","A box of 5.56x45mm M995 Rounds.","A box of 5.56x45mm M995 Rounds.","Патроны 5,56x45 мм M995 в коробке.","A box of 5.56x45mm M995 Rounds.","A box of 5.56x45mm M995 Rounds.","A box of 5.56x45mm M995 Rounds.","A box of 5.56x45mm M995 Rounds.","A box of 5.56x45mm M995 Rounds.","A box of 5.56x45mm M995 Rounds.","A box of 5.56x45mm M995 Rounds.","A box of 5.56x45mm M995 Rounds.","A box of 5.56x45mm M995 Rounds.",
"str_cfgvehicles_ammobox_new_556x45mk2550","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Коробка патронов 5,56x45 мм Mk 255 Mod 0","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Boxed 5.56x45mm Mk 255 Mod 0 Rounds","Boxed 5.56x45mm Mk 255 Mod 0 Rounds",
"str_cfgvehicles_ammobox_new_556x45mk2551","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","Патроны 5,56x45 мм Mk 255 Mod 0 в коробке.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.","A box of 5.56x45mm Mk 255 Mod 0 Rounds.",
"str_cfgvehicles_ammobox_new_556x4555fmj0","Boxed 5.56x45mm 55 FMJ Rounds","Boxed 5.56x45mm 55 FMJ Rounds","Boxed 5.56x45mm 55 FMJ Rounds","Boxed 5.56x45mm 55 FMJ Rounds","Коробка патронов 5,56x45 мм 55 FMJ","Boxed 5.56x45mm 55 FMJ Rounds","Boxed 5.56x45mm 55 FMJ Rounds","Boxed 5.56x45mm 55 FMJ Rounds","Boxed 5.56x45mm 55 FMJ Rounds","Boxed 5.56x45mm 55 FMJ Rounds","Boxed 5.56x45mm 55 FMJ Rounds","Boxed 5.56x45mm 55 FMJ Rounds","Boxed 5.56x45mm 55 FMJ Rounds","Boxed 5.56x45mm 55 FMJ Rounds",
